order_id,product_id,add_to_cart_order,reordered
1479706,24964,4,1
1794090,13176,3,1
2904831,44422,11,0
389445,43693,1,0
1784825,22418,4,0
2375216,27548,4,0
800432,22228,9,1
827139,29734,6,1
1235538,24852,3,0
2706734,38293,14,0
819794,13858,1,1
3133048,31608,3,0
699598,37288,18,0
2182200,39253,13,1
2079867,43967,14,0
1635311,8136,39,0
3291402,14992,10,1
2763986,15091,18,0
167660,42356,17,0
1755012,40672,10,1
3041865,34243,6,1
960288,9138,4,0
2224381,31553,9,0
2290408,5785,8,0
297788,31730,8,1
1271139,47211,6,1
2683912,29894,14,0
3292996,28199,1,0
1863641,39408,2,0
241864,49235,12,1
1596155,18272,7,1
1915700,47792,16,1
1731750,9681,9,1
44579,45123,6,1
2436850,11198,9,0
1910745,1940,1,1
1411318,47651,10,0
2372286,47209,1,1
2211667,6128,15,0
3264669,2228,22,0
2146073,46676,6,1
782688,24373,8,0
2654386,22035,2,1
3006993,38747,8,1
3367860,2050,2,1
1759587,28999,10,0
993507,1158,6,0
1880286,21903,6,1
1921507,13263,12,1
713449,31717,5,1
1666118,18918,9,0
1063675,42265,5,0
571821,47626,7,1
2160298,35518,5,1
801578,31394,20,1
827935,33065,4,1
844159,19875,3,1
3027109,31683,8,1
3069768,36036,3,0
158956,33198,3,1
1785978,15290,7,1
1887526,26209,8,0
2642403,28849,5,0
3365937,22120,2,1
3152034,33232,3,1
2601970,39877,14,1
2459385,7930,8,0
967582,30059,7,0
1209721,4216,19,1
1627344,22952,22,0
2572677,40706,6,0
1124330,42265,8,1
247485,41642,5,0
1967576,32592,1,0
389030,24852,4,1
100653,12743,1,1
3008981,19057,4,1
1593172,22025,5,1
2918559,18849,21,0
872297,27750,1,1
635706,14462,10,1
880618,11182,7,0
2674934,4115,7,1
2181126,17131,17,1
2570791,11870,10,0
2052739,40706,9,1
640720,24964,11,1
2946659,26882,9,1
1201685,16995,5,0
2184347,37724,6,1
2956123,21580,2,0
342236,41290,13,1
2288371,14493,9,0
808541,12859,3,0
871295,34969,2,1
2734933,23951,6,1
355317,10279,5,1
1105042,13997,6,1
1224099,1215,13,0
2074786,44987,3,0
1906047,10840,13,1
275003,24852,10,1
2949496,40545,3,0
905167,10527,22,0
2261907,16249,36,0
1019625,23048,5,1
615125,23233,9,0
2842828,25146,3,1
1325710,42633,2,1
2423340,48745,13,1
1474949,45866,5,1
286154,10814,4,0
478791,33407,16,0
2758443,28156,18,0
1077640,43086,10,1
1175433,14891,2,1
757465,32331,2,1
1878914,41844,7,0
445375,9210,1,1
3021338,39911,25,0
9447,11570,15,0
1648382,19005,11,0
2698690,11422,7,0
259456,24253,2,1
432314,19835,10,0
663164,43867,18,1
2041126,39428,12,0
2982947,14992,4,0
1533676,27966,1,1
1601828,42445,2,1
2039662,2983,14,0
3152427,260,15,1
3067205,39699,21,0
1205006,8277,5,1
248268,12149,1,0
488599,29926,14,1
2999817,16797,5,1
2039040,32747,4,1
2820103,29024,8,1
2099693,44097,27,1
2998066,45374,6,1
826391,20460,4,0
664086,19660,2,1
2956668,28199,5,1
2270474,18362,3,0
2941522,1999,8,1
3094858,8021,23,1
1743326,11005,10,1
2676153,14901,5,1
2251127,47258,7,1
3267479,24952,8,1
356400,11140,10,0
336336,20171,6,0
2879152,22935,9,1
1904619,38288,3,1
3095856,42091,19,1
1514780,44422,35,1
3185861,216,15,1
1509367,28824,13,0
3003431,15872,12,1
1565442,16154,7,0
2355890,17157,1,1
840896,7926,3,0
1787940,2573,8,0
2723727,28782,21,0
1375036,35855,8,0
791968,34203,14,1
166517,24852,1,1
1853131,38689,4,1
43806,13166,5,1
412723,16823,1,0
1872702,459,7,1
2763396,8580,2,1
2440698,14992,17,1
261514,37696,13,0
782090,14971,12,0
2841877,47866,8,1
2120258,26209,17,1
889534,30489,28,0
2638487,46969,5,0
1438901,2846,12,0
1262752,36463,15,0
1833881,30450,3,1
2082355,45671,16,0
1989928,39928,17,1
2454836,3863,3,1
1252477,44683,15,1
546262,45190,1,1
2334043,6211,2,0
2665513,28384,15,0
587004,31256,6,1
1368575,15269,13,0
935324,10840,3,1
2998008,27966,12,1
312952,21137,13,1
1218487,22362,2,1
2754833,6870,3,0
2600353,3957,1,1
1986598,15536,22,0
141134,38650,26,0
1780186,26369,7,0
82372,30385,1,0
1289762,24799,6,0
2636883,12663,9,0
2913749,38164,25,1
441,43329,7,0
1287228,30639,12,1
1627423,27521,10,1
2652883,15349,2,1
1396358,16875,6,0
238063,35898,11,1
3124457,21903,11,1
3258288,31553,1,1
916936,24532,6,0
709900,48642,8,1
780778,19348,12,1
