order_id,product_id,add_to_cart_order,reordered
349684,27845,8,1
684054,35951,1,0
2571020,26055,13,1
702422,38159,18,0
32916,15820,7,1
1471750,35951,3,0
2243802,10210,8,0
2371282,24852,5,1
3322409,21174,3,1
1219325,30233,4,0
2382288,23287,16,0
2530803,24760,9,0
2642501,34126,36,0
1536955,18696,11,0
176114,36695,12,1
2208428,47209,8,1
1156256,29079,11,0
2866527,17836,8,1
2659697,29529,20,0
1052714,36591,11,1
1580135,49441,25,1
2229373,19129,18,0
1544996,8518,7,0
787925,35182,8,0
1711653,45177,19,0
826427,25919,6,0
2664620,18962,2,1
1109826,36506,8,1
2133756,35193,5,1
1481108,30994,9,0
2297930,27966,2,1
1889679,2581,17,0
2825121,22935,23,1
318961,7781,6,0
1077081,44359,1,1
1127459,19904,13,0
278157,14129,5,1
1375389,5958,28,0
1012402,19173,3,1
1290822,1640,6,0
1176861,11440,5,1
211750,9766,1,1
1301803,18498,1,1
1045353,16131,5,0
1815912,37646,7,1
2870910,10749,1,0
586523,34763,1,0
785385,21174,19,1
11646,27730,1,1
372193,27845,4,1
1745499,10387,7,0
338988,15937,5,1
1082064,5025,4,1
3118113,20685,8,0
1644198,27845,1,1
1252827,34428,30,0
3119885,15200,6,1
1946763,5240,15,0
1409734,5077,10,0
1054417,7862,4,1
3272670,3869,8,0
3238836,47066,8,0
1609317,47626,4,0
764341,18439,21,1
2360078,45447,2,1
1324075,28593,2,1
3048657,25931,15,1
2457821,42999,14,0
1754089,5923,26,0
2615518,16249,1,1
2130085,6758,2,1
890832,43394,1,1
2127202,25466,7,0
1079090,27966,7,1
1657563,6228,10,0
2704542,43967,3,0
984136,16349,3,1
2805752,1695,1,1
304846,43961,9,1
823366,20740,12,0
2378374,47626,10,0
2108361,18434,3,0
926869,26209,31,1
3396556,47867,9,1
1233999,42736,3,1
2562608,31717,3,1
2376926,47672,2,0
702422,24838,20,0
1744633,46676,4,1
1036185,44562,10,1
2965401,26604,13,0
2428914,24265,36,1
586497,19389,14,0
46409,43686,7,1
190203,47209,1,1
2773969,12140,16,1
1949159,33942,10,1
1124874,2062,7,0
1696797,40348,15,0
2889405,46822,1,0
629227,13176,3,1
3409559,26209,7,1
1696797,40376,4,1
777036,10602,24,0
755030,6087,2,1
3331406,38400,9,1
1858384,31553,6,0
336423,49235,3,1
2158622,9648,11,1
2135040,4294,5,0
2873566,34448,6,1
864802,13176,1,1
485099,10106,2,1
2461427,9076,20,0
1794436,49585,7,0
1884219,45249,3,0
645821,5077,2,1
3071827,39275,14,0
813117,28883,8,0
1319390,7051,7,0
2078585,35102,15,0
737090,13080,13,0
1176884,42701,6,1
2500056,40897,4,1
1052714,41468,9,1
2460683,25544,13,1
686547,42356,19,0
1369416,20109,14,0
3140442,21903,8,1
1041690,16519,12,0
2259301,19125,6,1
748189,16616,14,1
859568,46901,11,0
148866,27521,11,1
174976,41844,14,1
2559979,31717,10,1
1107154,13914,5,1
1884842,29180,18,0
284437,15175,9,1
142507,4058,7,1
1903418,44548,5,1
1845470,34222,11,0
358895,30637,31,1
3315383,2245,6,1
2932939,11379,24,0
1238087,38928,1,1
1752226,16349,18,0
1961020,9224,7,0
1630931,31343,1,0
1676905,44492,16,1
2084838,5648,21,0
3392692,21616,4,1
386032,36058,5,1
1252827,13176,2,1
2158709,8667,9,1
926869,43821,16,1
2602164,21938,18,1
864802,19019,9,1
742608,49655,29,0
2245971,264,3,1
974654,26915,4,1
180808,45603,4,1
1026077,12811,5,1
2951304,15359,3,0
2929106,4920,10,1
2156507,17284,21,1
3032311,47780,3,0
437145,11250,3,1
959410,7559,3,1
629227,6857,10,0
677294,44097,12,0
1604594,17027,4,1
2806039,35819,8,1
2795874,39993,6,1
340663,32864,4,1
1634936,2124,15,0
3419634,45364,1,1
330830,24838,2,1
1468913,21387,10,1
2464931,43789,30,0
2297930,12644,15,1
702422,37192,26,1
1090832,7969,3,0
2602164,24852,2,1
1580135,13032,6,1
2752035,33674,4,1
167185,37119,18,1
1983044,12320,8,0
2415305,42736,4,1
2469848,9597,4,0
415554,40982,34,0
1468913,19821,7,1
531970,49520,1,1
1730526,5450,1,0
2085383,7010,6,0
1210519,8295,9,0
794064,33261,5,0
3068101,40709,2,0
478327,49235,2,1
3367172,21050,10,0
1369416,14118,5,0
1586472,34222,13,0
1879873,1463,2,1
1952959,30290,2,0
2576387,1241,1,1
2312946,41593,5,0
2868191,4562,3,0
3303112,41665,1,1
74625,13176,11,0
1091347,20520,14,0
386283,24236,31,0
2303859,3884,2,1
3351503,18362,3,1
2257902,36127,1,1
2627826,45113,3,1
3333096,26165,9,1
3275606,41806,15,1
629227,37524,11,0
1036185,27243,13,1
3400506,24582,5,1
1731430,47766,4,1
959395,19711,12,1
1676253,16192,15,1
2050816,16185,17,0
1727430,39628,6,1
779191,3142,12,0
2554464,14401,10,1
2805752,44632,4,1
3029879,45613,15,0
1348540,22035,2,1
1465229,34969,10,1
336423,11080,9,1
221481,48679,17,1
310520,11078,29,0
1041690,37115,8,0
2959404,39491,24,1
1238015,5450,13,1
686547,3952,4,1
2951304,23180,4,0
1221102,27966,1,1
3279181,45838,8,0
3287074,27903,1,0
3202236,19863,4,0
3322557,30668,9,0
206205,47144,13,0
858265,8747,25,1
267491,10163,16,0
1565450,10955,5,0
2893609,9810,2,1
702422,38456,15,1
3089685,1025,14,0
2681092,9899,5,1
742608,27778,31,0
1134630,29487,2,1
3178992,4210,13,1
178543,40154,2,1
2437216,9827,3,0
913743,26620,4,1
384530,10017,1,0
1989120,11197,7,0
1498305,38247,19,0
87914,43713,9,1
310520,39162,3,0
2050816,9076,33,0
1963089,47144,5,1
1949159,49175,21,1
937452,11941,16,0
3118619,14028,6,1
1724093,35561,1,0
2410485,45066,3,1
711923,222,3,1
1963154,36180,16,1
270320,24964,13,1
167185,44359,19,1
1419294,30407,5,1
1176884,19048,10,1
190203,19057,5,1
1117304,2855,3,1
1395773,42483,10,1
2238376,33735,1,1
1339862,21903,4,1
70932,5114,5,1
3373457,14678,5,1
2612566,37664,2,1
991772,7736,3,1
1828179,49235,2,1
2607415,13914,1,1
2600858,19619,5,1
2464931,12797,9,1
2439875,47652,2,0
890832,26620,8,0
226192,32734,4,1
2019002,47209,1,1
3196061,15896,5,1
237108,28289,6,0
1064200,39275,24,0
3414214,45007,8,1
3032311,30060,13,0
1949159,35951,5,1
1463803,37042,6,1
2631301,20345,13,0
2469848,31927,6,0
2531749,8174,6,1
896359,27325,7,0
3275606,5479,17,1
2498920,1099,6,0
1917563,26503,7,1
1753259,30391,4,0
3415641,43352,12,0
2025409,20899,7,1
875421,35948,1,0
1759819,23029,30,1
1412551,730,10,0
882997,38192,19,1
2319083,2086,4,0
2811757,9570,5,0
1013005,3464,3,1
410902,40706,9,0
1208538,30962,6,0
1106114,34956,7,1
1044651,45544,2,1
523965,31433,3,0
530658,31454,3,1
3119375,12289,26,0
2530803,47681,31,0
