order_id,product_id,add_to_cart_order,reordered
1895135,23288,2,1
1049568,23769,7,1
102028,44142,6,1
930570,44329,8,1
891492,24654,3,0
1882958,11989,8,0
790231,24964,1,1
340473,36618,10,0
1242194,4799,1,1
1414324,34668,7,0
3350981,16797,5,0
2689328,10673,6,0
1805109,9808,9,1
3121414,40645,40,0
1627949,26209,1,0
1138236,9357,1,0
1727746,13176,1,1
3197406,28985,2,1
2196924,5212,5,1
1658400,343,13,0
2918840,16168,2,1
834395,44912,2,0
2455447,2086,6,0
1904249,12797,5,0
2257282,44368,2,0
2960235,18272,1,1
3059076,33279,30,1
2641032,1069,10,1
2777798,26756,16,0
3103978,17766,1,1
2106749,33741,3,0
2645976,6375,1,0
1388438,22935,1,0
1355835,13176,1,1
799637,7725,1,1
3386657,18370,3,0
2454413,27790,1,1
2290481,810,9,0
2868167,35124,16,1
2214483,18362,3,0
494497,8309,16,1
2623298,25144,12,0
2211372,49683,7,1
701474,35440,4,0
3322523,36865,14,0
2261907,24221,24,0
2659063,24852,2,1
2136995,45007,4,1
717916,9941,24,1
1387436,37496,6,1
1401309,44683,1,0
2772916,48450,10,1
2878446,38635,26,0
1362807,4605,21,0
2944451,42275,1,0
14647,16696,4,0
1853184,19678,21,1
752253,30639,1,1
758566,47156,19,1
3042260,21938,29,1
2518839,45007,5,0
780383,29447,15,1
1758639,6184,5,1
888990,22935,11,1
1246678,4957,5,1
130592,23437,6,1
1689033,18288,10,1
3184805,43337,9,1
3145889,19048,5,1
933383,29487,16,1
1648363,25837,5,1
3060958,19087,5,0
1782383,11512,28,0
2934073,36994,17,0
239636,17485,7,0
1692978,42495,6,1
976396,49533,6,0
3109639,14356,3,1
238401,20574,19,1
1674667,8021,1,0
2355589,28985,4,1
2123402,42699,11,1
1003422,5725,11,0
1903701,26298,8,0
732952,20648,26,0
1827308,33674,6,0
1604010,31371,11,0
3102627,45537,10,1
968293,16953,2,0
936492,44628,18,0
130592,13733,19,0
3143267,16781,4,0
1406847,39877,4,1
1347307,48679,17,0
1534249,35951,9,1
2878698,30169,3,1
1762575,13176,1,1
2719316,24852,4,1
2284635,2716,1,1
