order_id,product_id,add_to_cart_order,reordered
384530,44449,3,1
2219353,13176,2,1
2809547,37011,8,1
1946763,16349,5,1
1989664,33120,2,1
699269,27395,5,1
2018860,8174,6,1
1238015,26604,14,1
1064200,19145,5,0
436126,8025,6,0
2120886,47209,13,0
373658,13176,2,1
2380346,44925,5,1
1657563,11712,11,0
522660,7145,5,0
1221102,13176,5,1
1058493,36050,4,0
1941179,39900,22,1
3334139,43961,5,1
699269,36664,37,0
305867,17332,1,1
2982082,21376,2,0
699269,40376,21,1
826427,42736,4,1
2078585,36227,6,1
374148,32478,10,1
1565450,12945,14,0
3162717,10504,9,1
464408,11937,5,0
1905929,27966,4,1
2043945,21497,3,0
1036185,22788,4,1
753317,34429,1,1
2191145,15650,9,1
2393611,655,5,1
2787322,21137,9,0
3414214,26882,7,1
2733134,15392,10,1
109143,31717,3,1
373658,8414,10,0
1607229,21497,1,1
1946763,5240,15,0
2485732,24964,19,1
1262456,6238,4,0
2844368,41400,5,1
2921844,17461,2,1
1073064,33816,2,1
1319390,20323,1,1
147827,519,4,1
1952959,11005,9,0
1571982,15860,6,0
1657563,6972,7,1
864802,21137,4,1
926991,47788,3,1
2133756,10612,10,1
864802,29675,6,1
2563762,40310,11,1
3266888,4001,3,1
3039231,36412,9,1
2235395,42557,2,1
2563762,47766,1,1
1460198,17264,8,0
1409734,28993,6,0
1941179,17691,21,0
3174249,7628,4,1
464408,4210,14,1
2229411,37147,2,0
2078585,39170,17,1
699269,32573,31,1
374148,32413,1,1
699269,20156,6,1
2809547,13838,5,1
2982082,47144,5,0
2229411,30335,8,0
374148,12019,31,1
1262456,13949,3,1
259284,9517,4,1
2246291,47766,8,1
3414214,21385,19,1
1989664,34358,16,1
1460198,19095,11,0
2939651,20899,2,1
1227572,41177,7,0
2380346,30910,7,1
2761587,21137,4,1
1964718,37646,12,1
1036185,44562,10,1
2007056,46667,1,1
1319390,219,3,0
2809547,9595,23,1
511309,14147,6,1
2485732,16797,12,1
1329074,24857,6,0
374148,4470,35,1
1676905,8536,17,1
2825121,47766,2,0
2235395,19578,7,0
1953378,18740,8,1
1058493,45290,7,0
156217,37646,2,1
3309959,40706,11,1
259284,27086,2,1
1671844,36216,9,0
2393611,32689,4,1
2809547,34126,9,1
875421,39177,6,0
384530,14992,7,0
332603,23915,2,1
572658,49605,1,0
2120886,26118,1,0
2825121,20383,19,0
2380346,2151,9,1
1941179,49354,15,1
3266888,9883,6,0
587154,37646,3,1
572658,14161,14,0
1058493,28198,3,0
3246286,9521,6,1
76443,32446,5,0
1227989,24852,5,1
511309,39581,4,0
2825121,21010,16,0
3162717,23165,3,1
1607229,27086,8,1
2246291,34358,15,1
1867422,25466,5,1
2219353,24964,12,0
2078585,3061,16,1
699269,5077,4,1
2229411,12616,9,0
374148,41062,37,1
3419158,37417,9,1
2485732,36929,7,1
464408,23604,4,0
3309959,23407,4,0
905844,9186,3,1
2120886,45,17,1
2219353,27966,1,1
828278,8871,5,0
2007056,25659,2,1
1058493,35870,25,0
809920,24964,18,0
1058493,37766,12,0
259284,42828,8,1
864802,42265,12,1
3266888,13646,8,0
905844,35951,5,1
587154,37766,9,1
3266888,10504,10,0
1571982,26800,11,0
2809547,47759,17,1
587154,5677,8,1
2323518,44632,3,1
1565450,42327,3,0
1109826,3479,1,1
2787322,45066,2,0
2787322,33959,1,1
2498920,6297,1,1
2485732,11520,3,1
3334139,47766,4,1
809920,23734,4,0
1941179,40261,9,1
259284,15950,17,0
702422,7969,16,0
2563762,26604,9,1
114309,23579,9,0
2873745,21195,2,1
443247,15902,12,0
2419939,32096,3,1
374148,24780,8,1
2733134,24852,2,1
2393611,4097,6,1
2133756,47209,1,1
702422,5578,11,0
875421,26209,2,0
572658,46041,13,0
1319390,2063,23,0
3358415,30731,2,0
1037027,8955,4,0
173334,37710,7,1
145541,42392,5,1
1238015,45948,17,1
1607229,22008,5,0
173334,38928,2,1
2921844,41273,7,1
156217,47766,1,1
318770,3952,19,0
835893,25890,10,0
2891355,16797,7,0
374148,2494,16,1
905844,22666,6,1
2809547,43295,13,1
1946763,32912,4,1
809920,44632,3,0
374148,44325,18,1
809920,13829,20,0
702422,39619,23,1
2825121,13176,22,1
3246286,9122,3,1
1058493,1405,5,0
173334,16732,5,1
2733134,17794,16,1
2018860,21616,9,0
2881431,15541,5,1
1051559,40086,2,1
2921844,15576,10,0
699269,29432,17,0
1227989,28204,6,1
1219555,33081,1,0
1657563,3460,9,1
1905929,16349,5,1
1155473,24852,7,0
1609317,16797,6,1
109143,21137,4,1
2607055,48733,2,1
2563762,9689,2,1
2825121,3849,25,1
2921844,47209,8,1
2078585,17252,10,0
1941179,3512,32,0
2485732,22963,4,1
2769359,42110,1,1
252753,47863,1,1
436126,34169,1,0
1238015,20113,11,1
864802,19019,9,1
384530,39408,10,1
2018860,34584,7,1
1676905,30949,2,1
330860,32156,4,0
1989664,37646,1,1
1565450,16715,9,0
3334139,10749,10,0
2018860,20995,15,1
3246286,23879,11,0
3414214,43789,9,0
2563762,46906,4,1
2825121,45535,17,0
1676905,44492,16,1
1912518,48775,9,1
109143,41787,6,0
2639837,3732,2,1
1867718,22025,2,1
3039231,24852,14,0
2167048,31869,2,1
2120886,38596,7,0
2229411,28985,1,1
2235395,3717,1,1
1565450,49235,10,0
366041,5450,9,1
2891355,43409,8,0
1776897,13525,3,0
3416719,31287,1,0
1946763,28993,10,1
114309,43945,4,1
1155473,40706,11,0
1051559,13944,8,1
699269,42299,39,0
1240216,9421,3,1
2219353,11123,10,0
1946763,26769,6,0
1952959,5450,4,0
2219353,8483,16,0
3246286,36550,8,1
259284,16617,16,0
572658,35772,4,1
1329074,24799,1,0
699269,21351,34,0
1356160,22935,13,1
1356160,4799,8,0
864802,10749,8,1
464408,13740,12,0
2295939,33198,2,1
1329074,13263,5,0
2498920,1090,12,0
2809547,21295,20,1
2246291,19677,3,1
2485732,16001,18,1
628385,9387,4,1
147827,10341,6,1
1460198,47847,1,0
2393611,35004,7,0
572658,24059,16,0
572658,14159,12,0
2191145,5922,8,1
3309959,2537,14,0
702422,28123,4,1
1227989,28985,7,1
3309959,24852,5,1
3039231,16102,3,0
2881431,12341,1,1
464408,44098,10,0
2439875,18708,6,1
2498920,25941,10,0
2733134,16185,8,1
3166316,25930,4,0
2078585,47144,2,1
1776897,44641,2,1
1037027,37067,1,1
905844,14355,2,1
1409734,24519,4,0
407922,43086,1,1
1319390,32018,4,0
374148,43183,38,0
1109826,16772,20,1
494319,29646,3,1
1671844,8174,4,1
1409734,21709,1,0
1155473,8424,13,1
751704,581,7,0
156217,27925,3,1
2485732,28204,2,1
384530,46461,15,0
114309,10301,11,0
2167048,26790,1,0
3414214,24964,18,1
1155473,49235,6,1
2936470,23734,4,0
809920,46676,5,0
587154,1633,7,1
1262456,17324,2,0
809920,47209,1,1
699269,27958,36,1
1227572,16797,6,0
522660,5432,4,0
809920,4472,2,1
2787322,33672,3,0
702422,15290,13,0
711923,13889,7,0
3045532,38739,1,1
1522391,14302,4,0
1953378,20760,13,0
1565450,34321,15,0
1155473,39984,17,0
875421,35948,1,0
305867,22620,7,0
1609317,37250,2,1
1061532,36988,2,1
3039231,44765,12,0
1724093,4557,3,1
2809547,3599,4,1
572658,21793,6,1
436126,21376,2,0
366041,33731,8,0
2246291,43735,10,0
374148,2922,42,1
702422,15261,6,0
809920,4957,9,0
2235395,34217,8,1
2993458,33504,2,1
2485732,39190,8,1
1036185,14421,16,0
2323518,2295,6,1
1319390,24778,2,1
2323518,21795,4,1
2246291,20600,4,1
